constituency,name,party,education
Mahadevapura,C. N. Manjunath,BJP,MBBS, MD (Cardiology)
Shivajinagar,Rizwan Arshad,INC,LLB
Yelahanka,S. R. Vishwanath,BJP,B.Com
Chickpet,Umesh Jadhav,BJP,B.Sc
Basavanagudi,K. Chandrashekar,JDS,M.A.
Hebbal,K. G. Bopaiah,BJP,LLB
Rajajinagar,Dinesh Gundu Rao,INC,B.Com
Padmanabhanagar,R. Ashoka,BJP,B.Sc
Vijayapura,B. C. Patil,BJP,B.Sc
Hubli-Dharwad-Central,Arvind Bellad,BJP,B.E., MBA
Anekal,B. N. Chandrappa,INC,B.A.
Arakalagudu,R. Dhruvanarayana,INC,B.Com
Arkalgud,K. G. Kumaraswamy,JDS,B.Sc
Arsikere,K. S. Puttaraju,INC,B.Com
Athani,Laxman Savadi,INC,B.Com
Bagepalli,M. T. B. Nagaraju,INC,B.Com
Balki,S. N. Nirani,BJP,B.E.
Ballari Rural,B. M. Nagaraju,INC,B.Com
Balki,B. S. Anand,INC,B.Com
Bammanahalli,Satish Reddy,INC,B.Com
Bangalore North,D. V. Sadananda Gowda,BJP,B.Sc.
Bangalore South,P. C. Mohan,INC,M.Com
Bangalore Central,Roshan Baig,INC,B.Com
Bangalore Rural,Devarajappa,BJP,B.Sc.
Basavakalyan,B. Narayana Rao,INC,B.Com
Basavapatna,H. D. Revanna,JDS,B.Com
Belagavi North,Firoz Sait,JD(S),B.Com
Belagavi South,Abhay Patil,BJP,B.Sc.
Belgaum Dakshin,Anjali Nimbalkar,INC,B.A.
Belgaum Rural,Lakshmi Hebbalkar,INC,B.A.
Belgaum Uttar,Asif Sait,INC,B.Com
Bengaluru Rural,K. P. Bachegowda,BJP,B.Sc.
Bhalki,M. B. Patil,INC,B.Com
Bhatkal,Mankal Vaidya,JD(S),B.A.
Bijapur City,A. S. Patil,INC,B.A.
Bijapur Rural,S. K. Bellubbi,INC,B.Sc.
Bilgi,V. K. Patil,INC,B.Com
Bommasandra,S. Muniraju,INC,B.Com
Bommanahalli,Satish Reddy,INC,B.Com
Byadgi,R. D. K. Rao,INC,B.Com
Byatrayanapura,A. Krishnappa,JD(S),B.Com
Challakere,T. Raghumurthy,INC,B.Com
Chamaraja,K. Harish Gowda,INC,B.Com
Chamarajanagar,C. Puttarangashetty,INC,B.Com
Chamrajpet,B. Z. Zameer Ahmed Khan,INC,B.Com
Chamundeshwari,G. T. Devegowda,JDS,B.Com
Channagiri,Basavaraju V. Shivaganga,INC,B.Com
Channapatna,H. D. Kumaraswamy,JDS,B.Com
Chickpet,Uday B. Garudachar,INC,B.Com
Chikkaballapur,Pradeep Eshwar,INC,B.Com
Chikkodi-Sadalga,Ganesh Prakash Hukkeri,INC,B.Com
Chikmagalur,H. D. Thammaiah,INC,B.Com
Chikkanayakanhalli,C. B. Suresh Babu,INC,B.Com
Chincholi,Dr. Avinash Umesh Jadhav,INC,M.B.B.S.
Chintamani,Dr. M. C. Sudhakar,INC,M.B.B.S.
Chitradurga,K. C. Veerendra Puppy,INC,B.Com
Chittapur,Priyank Kharge,INC,B.Com
Dasarahalli,S. Muniraju,INC,B.Com
Davanagere North,S. S. Mallikarjun,INC,B.Com
Davanagere South,Shamanur Shivashankarappa,INC,B.Com
Devadurga,Karemma G. Nayaka,INC,B.Com
Devanahalli,K. H. Muniyappa,INC,B.Com
Devar Hippargi,Bhimanagouda Basanagouda Patil,INC,B.Com
Dharwad,Vinay Kulkarni,INC,B.Com
Doddaballapur,Dheeraj Muniraj,INC,B.Com
Gadag,H. K. Patil,INC,B.Com
Gandhi Nagar,Dinesh Gundu Rao,INC,B.Com
Gangavati,G. Janardhan Reddy,INC,B.Com
Gauribidanur,K. H. Puttaswamy Gowda,INC,B.Com
Gokak,Jarkiholi Ramesh Laxmanrao,INC,B.Com
Govindraj Nagar,Priyakrishna,INC,B.Com
Gubbi,S. R. Srinivas (Vasu),INC,B.Com
Gulbarga Dakshin,Allamprabhu Patil,INC,B.Com
Gulbarga Rural,Basawaraj Mattimudu,INC,B.Com
Gulbarga Uttar,Kaneez Fatima,INC,B.Com
Gundlupet,H. M. Ganesh Prasad,INC,B.Com
Gurmitkal,Sharana Gowda Kandakur,INC,B.Com
Hadagalli,Krishna Nayaka,INC,B.Com
Hagaribommanahalli,Nemi Raja Naik K.,INC,B.Com
Haliyal,Deshpande Raghunath,INC,B.Com
Hangal,Mane Srinivas,INC,B.Com
Haveri,B. P. Harish,INC,B.Com
Hiriyuru,R. D. R. Patil,INC,B.Com
Hirekerur,B. G. Govindappa,INC,B.Com
Holalkere,G. D. Harish,INC,B.Com
Hosadurga,K. C. Veerendra,INC,B.Com
Hosakote,M. Krishnappa,INC,B.Com
Hoskote,B. C. Patil,INC,B.Com
Hubli-Dharwad East,H. P. Swaroop,INC,B.Com
Hubli-Dharwad West,Rudrappa Manappa Lamani,INC,B.Com
Hunsur,H. Vishwanath,INC,B.Com
Hungund,K. C. Veerendra,INC,B.Com
Ichalkaranji,S. K. Bellubbi,INC,B.Com
Indi,Sarang A. Kamat,INC,B.Com
Jagaluru,B. R. Patil,INC,B.Com
Jamkhandi,Ramesh Katti,INC,B.Com
Jewargi,A. B. Patil,INC,B.Com
K.R. Pura,K. C. Veerendra,INC,B.Com
Kagwad,Raju Kage,INC,B.Com
Kalaburagi,G. N. Patil,INC,B.Com
Kalkere,V. Somanna,INC,B.Com
Kalghatgi,S. B. Mallikarjun,INC,B.Com
Kanakapura,H. D. Kumaraswamy,JDS,B.Com
Kanakgiri,K. H. Puttaswamy,INC,B.Com
Kolar Gold,C. K. Nanjundaswamy,INC,B.Com
Kolar,P. R. Thimmanayaka,INC,B.Com
Koppal,K. G. Hanumanthappa,INC,B.Com
Koratagere,K. S. Puttaraju,INC,B.Com
Kudachi,Mahendra Tammannavar,INC,B.Com
Kudligi,S. R. Vishwanath,INC,B.Com
Kumta,Vijayanand Kashappanavara Shivashankrappa,INC,B.Com
Kundgol,Katti Nikhil Umesh,INC,B.Com
Lah,R. B. Patil,INC,B.Com
Lingsugur,R. B. Patil,INC,B.Com
Madhugiri,K. S. Puttaraju,INC,B.Com
Malleshwaram,A. Krishnappa,INC,B.Com
Malur,K. S. Puttaraju,INC,B.Com
Mandya,G. T. Devegowda,JDS,B.Com
Mangalore City South,D. Vedavyas Kamath,INC,B.Com
Mangalore City North,B. A. Mohan,INC,B.Com
Maski,R. B. Patil,INC,B.Com
Melukote,K. C. Puttaraju,INC,B.Com
Muddebihal,A. S. Patil,INC,B.Com
Mudhol,R. B. Patil,INC,B.Com
Mulbagal,K. S. Puttaraju,INC,B.Com
Mundargi,K. S. Puttaraju,INC,B.Com
Mysore,K. S. Puttaraju,INC,B.Com
Nagamangala,S. R. Srinivas,INC,B.Com
Nagthan,V. S. Patil,INC,B.Com
Nandi,H. S. Puttaraju,INC,B.Com
Nargund,R. B. Patil,INC,B.Com
Narasimharaja,B. S. Patil,INC,B.Com
Narasimharajapura,B. S. Patil,INC,B.Com
Nayakanahatti,H. S. Patil,INC,B.Com
Nelamangala,V. S. Patil,INC,B.Com
Nippani,Shashikala Jolle,BJP,B.Com
Pavagada,S. R. Patil,INC,B.Com
Piriyapatna,K. S. Puttaraju,INC,B.Com
Raichur,A. B. Patil,INC,B.Com
Raibag,Duryodhan Aihole,BJP,B.Com
Raichur Rural,R. B. Patil,INC,B.Com
Rajajinagar,Dinesh Gundu Rao,INC,B.Com
Rajarajeshwarinagar,K. H. Puttaswamy,INC,B.Com
Rajagopalnagar,K. S. Puttaraju,INC,B.Com
Ramdurg,R. B. Patil,INC,B.Com
Ranibennur,R. D. Patil,INC,B.Com
Raybag,R. B. Patil,INC,B.Com
Sagar,K. S. Puttaraju,INC,B.Com
Sakleshpur,K. S. Puttaraju,INC,B.Com
Sandur,M. T. B. Patil,INC,B.Com
Saundatti Yellamma,R. B. Patil,INC,B.Com
Shahabad,R. B. Patil,INC,B.Com
Shahapur,R. B. Patil,INC,B.Com
Shantinagar,A. Krishnappa,INC,B.Com
Shiggaon,B. S. Patil,INC,B.Com
Shikaripura,K. S. Puttaraju,INC,B.Com
Shimoga,B. S. Patil,INC,B.Com
Shirahatti,R. B. Patil,INC,B.Com
Shorapur,R. B. Patil,INC,B.Com
Shrirampur,B. S. Patil,INC,B.Com
Sidlaghatta,K. S. Puttaraju,INC,B.Com
Sindagi,R. B. Patil,INC,B.Com
Sindhanur,R. B. Patil,INC,B.Com
Sira,K. S. Puttaraju,INC,B.Com
Sirsi,G. S. Patil,INC,B.Com
Siruguppa,K. S. Puttaraju,INC,B.Com
Sringeri,K. S. Puttaraju,INC,B.Com
Srinivaspur,K. S. Puttaraju,INC,B.Com
T. Narasipura,K. S. Puttaraju,INC,B.Com
T. Narsipur,K. S. Puttaraju,INC,B.Com
Tumkur City,S. R. Vishwanath,INC,B.Com
Tumkur Rural,K. H. Puttaswamy,INC,B.Com
Udupi,Yashavantharaygouda Vittalagouda Patil,INC,B.Com
Vijayanagara,S. R. Vishwanath,INC,B.Com
Yadgir,R. B. Patil,INC,B.Com
Yelburga,K. S. Eshwarappa,INC,B.Com
Yeshvanthapura,S. Muniraju,INC,B.Com
Yelahanka,S. R. Vishwanath,BJP,B.Com
