lok_sabha_seat,name,party,term_start,term_end
Bagalkot,P.C. Gaddigoudar,BJP,2024,2029
Bangalore Central,P.C. Mohan,BJP,2024,2029
Bangalore North,Shobha Karandlaje,BJP,2024,2029
Bangalore Rural,Dr. C.N. Manjunath,BJP,2024,2029
Bangalore South,Tejasvi Surya,BJP,2024,2029
Belgaum,Jagadish Shettar,BJP,2024,2029
Bellary,E. Tukaram,INC,2024,2029
Bidar,Sagar Khandre,INC,2024,2029
Bijapur,Ramesh Jigajinagi,BJP,2024,2029
Chamarajanagar,Sunil Bose,INC,2024,2029
Chikkballapur,Dr. K. Sudhakar,BJP,2024,2029
Chikkodi,Priyanka Satish Jarkiholi,INC,2024,2029
Chitradurga,Govind Makthappa Karjol,BJP,2024,2029
Dakshina Kannada,Captain Brijesh Chowta,BJP,2024,2029
Davanagere,S.S. Mallikarjun,INC,2024,2029
Dharwad,Pralhad Joshi,BJP,2024,2029
Gulbarga,Radhakrishna Doddamani,INC,2024,2029
Hassan,Shreyas M. Patel,JD(S),2024,2029
Haveri,Basavaraj Bommai,BJP,2024,2029
Kolar,M. Mallesh Babu,INC,2024,2029
Koppal,Rajashekar Basavaraj Hitnal,INC,2024,2029
Mandya,H.D. Kumaraswamy,JD(S),2024,2029
Mysore,Yaduveer Krishnadatta Chamaraja Wadiyar,BJP,2024,2029
Raichur,G. Kumar Naik,INC,2024,2029
Shimoga,B.Y. Raghavendra,BJP,2024,2029
Tumkur,V. Somanna,BJP,2024,2029
Udupi Chikmagalur,Kota Srinivas Poojary,BJP,2024,2029
Uttara Kannada,Vishweshwar Hegde Kageri,BJP,2024,2029
